st_reg_id,registry,is_platform_subtrial,results_recruitment_status,pub_link,pmid,best_date,journal,best_registry_date,st_pub_reported,is_euctr_country_entry
NCT04341688,ClinicalTrials.gov,FALSE,UNKNOWN,https://pubmed.ncbi.nlm.nih.gov/32127517/,32127517,2020-03-03T00:00:00Z,Int J Oral Sci,NA,NA,FALSE
NCT04341870,ClinicalTrials.gov,FALSE,SUSPENDED,NA,NA,NA,NA,NA,NA,FALSE
NCT04341935,ClinicalTrials.gov,FALSE,WITHDRAWN,https://pubmed.ncbi.nlm.nih.gov/32178593/,32178593,2020-03-17T00:00:00Z,Emerg Microbes Infect,NA,NA,FALSE
NCT04342156,ClinicalTrials.gov,FALSE,WITHDRAWN,NA,NA,NA,NA,NA,NA,FALSE
NCT04342169,ClinicalTrials.gov,FALSE,COMPLETED,NA,NA,NA,NA,NA,NA,FALSE
NCT04342221,ClinicalTrials.gov,FALSE,TERMINATED,NA,NA,NA,NA,NA,NA,FALSE
NCT04342650,ClinicalTrials.gov,FALSE,COMPLETED,NA,NA,NA,NA,NA,NA,FALSE
NCT04342663,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/33240091/,33240091,2020-11-06T00:00:00Z,Front Pharmacol,2021-07-09,0,FALSE
NCT04342689,ClinicalTrials.gov,FALSE,TERMINATED,NA,NA,NA,NA,NA,NA,FALSE
NCT04342728,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/36062970/,36062970,2022-09-05T00:00:00Z,Cochrane Database Syst Rev,NA,NA,FALSE
NCT04342897,ClinicalTrials.gov,FALSE,TERMINATED,https://pubmed.ncbi.nlm.nih.gov/35991210/,35991210,2022-08-10T00:00:00Z,Clin Med Insights Circ Respir Pulm Med,2021-08-12,NA,FALSE
NCT04343092,ClinicalTrials.gov,FALSE,COMPLETED,NA,NA,NA,NA,2020-11-04,0,FALSE
NCT04343144,ClinicalTrials.gov,FALSE,UNKNOWN,NA,NA,NA,NA,NA,NA,FALSE
NCT04343248,ClinicalTrials.gov,FALSE,TERMINATED,NA,NA,NA,NA,NA,NA,FALSE
NCT04343651,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/39353749/,39353749,2024-09-30T00:00:00Z,Clin Ther,2023-01-04,0,FALSE
NCT04343677,ClinicalTrials.gov,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
NCT04343729,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/34917633/,34917633,2021-11-30T00:00:00Z,Front Med (Lausanne),NA,NA,FALSE
NCT04343768,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/32083985/,32083985,2020-02-21T00:00:00Z,Radiology,NA,NA,FALSE
NCT04343963,ClinicalTrials.gov,FALSE,UNKNOWN,https://pubmed.ncbi.nlm.nih.gov/32091533/,32091533,2020-04-07T00:00:00Z,JAMA,NA,NA,FALSE
NCT04343976,ClinicalTrials.gov,FALSE,TERMINATED,https://pubmed.ncbi.nlm.nih.gov/32788708/,32788708,2020-10-01T00:00:00Z,Nat Rev Immunol,NA,NA,FALSE
NCT04343989,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/35583232/,35583232,2022-05-17T00:00:00Z,Crit Care Med,2022-02-15,0,FALSE
NCT04344041,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/35639792/,35639792,2022-05-31T00:00:00Z,PLoS Med,NA,NA,FALSE
NCT04344184,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/32087114/,32087114,2020-02-19T00:00:00Z,Lancet Infect Dis,NA,NA,FALSE
NCT04344236,ClinicalTrials.gov,FALSE,WITHDRAWN,NA,NA,NA,NA,NA,NA,FALSE
NCT04344379,ClinicalTrials.gov,FALSE,COMPLETED,NA,NA,NA,NA,NA,NA,FALSE
NCT04344444,ClinicalTrials.gov,FALSE,TERMINATED,NA,NA,NA,NA,NA,NA,FALSE
NCT04344600,ClinicalTrials.gov,FALSE,TERMINATED,https://pubmed.ncbi.nlm.nih.gov/29270173/,29270173,2017-12-06T00:00:00Z,Front Immunol,NA,NA,FALSE
NCT04344730,ClinicalTrials.gov,FALSE,UNKNOWN,https://pubmed.ncbi.nlm.nih.gov/37634234/,37634234,2023-08-27T00:00:00Z,Ann Intensive Care,NA,NA,FALSE
NCT04344756,ClinicalTrials.gov,FALSE,UNKNOWN,https://pubmed.ncbi.nlm.nih.gov/35244208/,35244208,2022-03-04T00:00:00Z,Cochrane Database Syst Rev,NA,NA,FALSE
NCT04344782,ClinicalTrials.gov,FALSE,UNKNOWN,NA,NA,NA,NA,NA,NA,FALSE
NCT04345406,ClinicalTrials.gov,FALSE,NOT_YET_RECRUITING,NA,NA,NA,NA,NA,NA,FALSE
NCT04345419,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/36695483/,36695483,2023-01-25T00:00:00Z,Cochrane Database Syst Rev,NA,NA,FALSE
NCT04345445,ClinicalTrials.gov,FALSE,UNKNOWN,NA,NA,NA,NA,NA,NA,FALSE
NCT04345614,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/35395943/,35395943,2022-04-08T00:00:00Z,Crit Care,NA,NA,FALSE
NCT04345692,ClinicalTrials.gov,FALSE,TERMINATED,NA,NA,NA,NA,NA,NA,FALSE
NCT04345848,ClinicalTrials.gov,FALSE,TERMINATED,https://pubmed.ncbi.nlm.nih.gov/35244208/,35244208,2022-03-04T00:00:00Z,Cochrane Database Syst Rev,NA,NA,FALSE
NCT04345887,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/32227760/,32227760,2020-03-30T00:00:00Z,N Engl J Med,NA,NA,FALSE
NCT04346147,ClinicalTrials.gov,FALSE,UNKNOWN,NA,NA,NA,NA,NA,NA,FALSE
NCT04346199,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/40461100/,40461100,2025-05-30T00:00:00Z,Immunohorizons,2021-09-13,0,FALSE
NCT04346329,ClinicalTrials.gov,FALSE,WITHDRAWN,NA,NA,NA,NA,NA,NA,FALSE
NCT04346615,ClinicalTrials.gov,FALSE,TERMINATED,NA,NA,NA,NA,NA,NA,FALSE
NCT04346628,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/35446944/,35446944,2022-11-30T00:00:00Z,Clin Infect Dis,2022-04-21,0,FALSE
NCT04346667,ClinicalTrials.gov,FALSE,TERMINATED,NA,NA,NA,NA,NA,NA,FALSE
NCT04346693,ClinicalTrials.gov,FALSE,COMPLETED,NA,NA,NA,NA,NA,NA,FALSE
NCT04346797,ClinicalTrials.gov,FALSE,UNKNOWN,NA,NA,NA,NA,NA,NA,FALSE
NCT04347031,ClinicalTrials.gov,FALSE,COMPLETED,NA,NA,NA,NA,NA,NA,FALSE
